Date;Value;Return;DividendYield;TotalReturn;ReturnRange
2006-01-01;1278.73;0.0823761437604218;0.0176;0.0999761437604218;0% to 15%
2007-01-01;1424.16;0.11373002901316154;0.0176;0.13133002901316154;0% to 15%
2008-01-01;1378.76;-0.03187844062464895;0.0187;-0.01317844062464895;-15% to 0%
2009-01-01;865.58;-0.3722040093997505;0.0323;-0.3399040093997505;< -15%
2010-01-01;1123.58;0.2980660366459482;0.0202;0.3182660366459482;> 30%
2011-01-01;1282.62;0.14154755335623626;0.0183;0.15984755335623627;15% to 30%
2012-01-01;1300.58;0.01400258845176272;0.0213;0.03530258845176272;0% to 15%
2013-01-01;1480.4;0.1382613910716759;0.022000000000000002;0.1602613910716759;15% to 30%
2014-01-01;1822.36;0.23099162388543615;0.0194;0.2503916238854361;15% to 30%
2015-01-01;2028.18;0.11294146052371667;0.0192;0.13214146052371667;0% to 15%
2016-01-01;1918.6;-0.054028735122129246;0.021099999999999997;-0.03292873512212925;-15% to 0%
2017-01-01;2275.12;0.18582299593453566;0.0203;0.20612299593453565;15% to 30%
2018-01-01;2789.8;0.22622103449488384;0.0184;0.24462103449488384;15% to 30%
2019-01-01;2607.39;-0.06538461538461549;0.0209;-0.044484615384615483;-15% to 0%
2020-01-01;3278.2;0.2572725982687669;0.0183;0.2755725982687669;15% to 30%
2021-01-01;3793.75;0.1572661826612165;0.0158;0.1730661826612165;15% to 30%
2022-01-01;4573.82;0.2056197693574957;0.0129;0.2185197693574957;15% to 30%
2023-01-01;3960.66;-0.1340586205841069;0.0171;-0.11695862058410689;-15% to 0%
